StreetA,LatA,LonA,StreetB,LatB,LonB,Distance
BRYANT ST NE,38.92129800176733,-76.9780336248359,BRYANT ST NE,38.92108753140386,-76.98725344410735,76.66
BRYANT ST NE,38.92108753140386,-76.98725344410735,BRYANT ST NE,38.92130594710263,-77.00239689698553,79.55
BRYANT ST NE,38.92130594710263,-77.00239689698553,BUCHANAN ST NE,38.94744340048649,-77.00736718207239,9519.78
BUCHANAN ST NE,38.94744340048649,-77.00736718207239,BUCHANAN ST NE,38.946280230475075,-76.99375721093286,423.65
BUCHANAN ST NE,38.946280230475075,-76.99375721093286,BUCHANAN ST NE,38.946173616284085,-76.9813989124515,38.83
BUCHANAN ST NE,38.946173616284085,-76.9813989124515,CHANNING ST NE,38.922375865848686,-76.96469828693964,8667.61
CHANNING ST NE,38.922375865848686,-76.96469828693964,CHANNING ST NE,38.92237361201677,-76.97440161357824,0.82
CHANNING ST NE,38.92237361201677,-76.97440161357824,CHANNING ST NE,38.92237435063841,-76.9780065648691,0.27
CHANNING ST NE,38.92237435063841,-76.9780065648691,CHANNING ST NE,38.9223750720742,-77.00222962248003,0.26
CHANNING ST NE,38.9223750720742,-77.00222962248003,CHANNING ST NE,38.922380458214036,-77.0085772778311,1.96
CHANNING ST NE,38.922380458214036,-77.0085772778311,CLAY ST NE,38.89356910838563,-76.95768686621656,10493.62
CLAY ST NE,38.89356910838563,-76.95768686621656,CLAY ST NE,38.892907522727945,-76.91819066368016,240.96
CLAY ST NE,38.892907522727945,-76.91819066368016,CLAY ST NE,38.89291900557119,-76.91438018763344,4.18
CLAY ST NE,38.89291900557119,-76.91438018763344,CRITTENDEN ST NE,38.94729578360096,-76.993111492206,19805.06
CRITTENDEN ST NE,38.94729578360096,-76.993111492206,CRITTENDEN ST NE,38.948230835824845,-77.00746477424866,340.57
CRITTENDEN ST NE,38.948230835824845,-77.00746477424866,DECATUR ST NE,38.94826116573271,-76.99380438881815,11.05
DECATUR ST NE,38.94826116573271,-76.99380438881815,DIX ST NE,38.894776339780144,-76.95716618980217,19480.2
DIX ST NE,38.894776339780144,-76.95716618980217,DIX ST NE,38.894477307403655,-76.91517713833231,108.91
DIX ST NE,38.894477307403655,-76.91517713833231,DOUGLAS ST NE,38.9234462067512,-77.00156410097216,10551.0
DOUGLAS ST NE,38.9234462067512,-77.00156410097216,DOUGLAS ST NE,38.92352046918695,-76.99135427135306,27.05
DOUGLAS ST NE,38.92352046918695,-76.99135427135306,DOUGLAS ST NE,38.92314130324853,-76.98916812316978,138.1
DOUGLAS ST NE,38.92314130324853,-76.98916812316978,DOUGLAS ST NE,38.92344458292895,-76.97332726527301,110.46
DOUGLAS ST NE,38.92344458292895,-76.97332726527301,DOUGLAS ST NE,38.92344528760196,-76.96583713920221,0.26
DOUGLAS ST NE,38.92344528760196,-76.96583713920221,DOUGLAS ST NE,38.92345257147695,-77.00883769726693,2.65
DOUGLAS ST NE,38.92345257147695,-77.00883769726693,DUNCAN ST NE,38.89540538282183,-76.98457850284514,10215.3
DUNCAN ST NE,38.89540538282183,-76.98457850284514,EADS ST NE,38.895817914019105,-76.91854955782132,150.25
EADS ST NE,38.895817914019105,-76.91854955782132,EADS ST NE,38.89582267141473,-76.92598754257995,1.73
EADS ST NE,38.89582267141473,-76.92598754257995,EAST CAPITOL ST NE,38.890382340332124,-76.98991813446682,1981.46
EAST CAPITOL ST NE,38.890382340332124,-76.98991813446682,EAST CAPITOL ST NE,38.88991624797817,-76.95469386197794,169.76
EAST CAPITOL ST NE,38.88991624797817,-76.95469386197794,EAST CAPITOL ST NE,38.88997640348189,-76.95993944725633,21.91
EAST CAPITOL ST NE,38.88997640348189,-76.95993944725633,EMERALD ST NE,38.89672835390156,-76.98691019717283,2459.18
EMERALD ST NE,38.89672835390156,-76.98691019717283,EMERSON ST NE,38.95005288582807,-76.99702823947794,19421.82
EMERSON ST NE,38.95005288582807,-76.99702823947794,EMERSON ST NE,38.95027544170354,-76.98924481595382,81.06
EMERSON ST NE,38.95027544170354,-76.98924481595382,EVARTS ST NE,38.924517220503304,-76.99969743552359,9381.66
EVARTS ST NE,38.924517220503304,-76.99969743552359,EVARTS ST NE,38.92451625063605,-76.96777164102217,0.35
EVARTS ST NE,38.92451625063605,-76.96777164102217,EVARTS ST NE,38.92451804332916,-76.97788741473278,0.65
EVARTS ST NE,38.92451804332916,-76.97788741473278,EVARTS ST NE,38.92441172738804,-76.9902297140827,38.72
EVARTS ST NE,38.92441172738804,-76.9902297140827,EVARTS ST NE,38.9245171483968,-76.99308292035846,38.4
EVARTS ST NE,38.9245171483968,-76.99308292035846,EVARTS ST NE,38.92452575328945,-77.0084035522603,3.13
EVARTS ST NE,38.92452575328945,-77.0084035522603,FOOTE ST NE,38.89704773542455,-76.93070800732947,10008.0
FOOTE ST NE,38.89704773542455,-76.93070800732947,FOOTE ST NE,38.89757386217098,-76.93484234375616,191.62
