type,value
az,129.2315
az,140.7685
az,50.7685
az,39.2315
az,53.1301
az,36.8699
az,126.8699
az,143.1301
az,63.43495
az,26.56505
az,116.56505
az,153.43495
az,51.82729
az,38.1727
az,128.1727
az,141.82729
dist,2.28825
dist,0.87403
dist,2.80252
dist,1.07047
dist,6.26662
dist,2.393643
dist,1.4142
dist,1.7321
dist,2.2361
dist,1.618
dist,0.618
dist,0.47553
dist,1.31433
dist,1.5388
dist,3.0
dist,4.0
dist,5.0
