Label, Latitude, Longitude, Azimuth_To_Target
E N 5, 38.929146954, -76.955497074, -44.9445
E N 6, 38.936402111, -76.964768953, -44.9504
E N 7, 38.943656521, -76.974042722, -44.9562
E N 8, 38.950910186, -76.983318380, -44.9620
E N 9, 38.958163104, -76.992595930, -44.9678
E N 10, 38.965415276, -77.001875371, -44.9737
E N 11, 38.972666700, -77.011156704, -44.9795
E N 12, 38.979917378, -77.020439931, -44.9854
E N 13, 38.987167307, -77.029725051, -44.9912
E N 14, 38.995957000, -77.040986000, -44.9970
S E 0, 38.790339000, -77.040586000, 45.0309
S E 1, 38.797583406, -77.031318170, 45.0367
S E 2, 38.804827068, -77.022048464, 45.0425
S E 3, 38.812069986, -77.012776880, 45.0483
S E 4, 38.819312158, -77.003503418, 45.0541
S E 5, 38.826553586, -76.994228078, 45.0599
S E 6, 38.833794268, -76.984950859, 45.0658
S E 7, 38.841034204, -76.975671759, 45.0716
S E 8, 38.848273393, -76.966390779, 45.0774
S E 9, 38.855511837, -76.957107918, 45.0832
S E 10, 38.862749533, -76.947823175, 45.0890
S E 11, 38.869986482, -76.938536549, 45.0949
S E 12, 38.877222683, -76.929248039, 45.1007
S E 13, 38.884458137, -76.919957646, 45.1065
S E 14, 38.892860000, -76.909166000, 45.1124
E S 0, 38.892860000, -76.909166000, -134.8867
E S 1, 38.885625415, -76.918458582, -134.8925
E S 2, 38.878390083, -76.927749279, -134.8984
E S 3, 38.871154002, -76.937038093, -134.9042
E S 4, 38.863917173, -76.946325022, -134.9100
E S 5, 38.856679598, -76.955610069, -134.9158
E S 6, 38.849441275, -76.964893234, -134.9217
E S 7, 38.842202206, -76.974174518, -134.9275
E S 8, 38.834962390, -76.983453921, -134.9333
E S 9, 38.827721829, -76.992731443, -134.9391
E S 10, 38.820480522, -77.002007087, -134.9449
E S 11, 38.813238469, -77.011280851, -134.9507
E S 12, 38.805995672, -77.020552738, -134.9566
E S 13, 38.798752130, -77.029822747, -134.9624
E S 14, 38.790339000, -77.040586000, -134.9682
S N 0, 38.790339000, -77.040586000, -0.0870
S N 1, 38.800590171, -77.040605887, -0.0870
S N 2, 38.810841324, -77.040625780, -0.0870
S N 3, 38.821092458, -77.040645679, -0.0870
S N 4, 38.831343575, -77.040665583, -0.0870
S N 5, 38.841594674, -77.040685494, -0.0870
S N 6, 38.851845755, -77.040705409, -0.0871
S N 7, 38.862096817, -77.040725331, -0.0871
S N 8, 38.872347862, -77.040745258, -0.0871
S N 9, 38.882598888, -77.040765191, -0.0871
S N 10, 38.892849897, -77.040785130, -0.0871
S N 11, 38.903100887, -77.040805074, -0.0871
S N 12, 38.913351860, -77.040825025, -0.0871
S N 13, 38.923602814, -77.040844981, -0.0871
S N 14, 38.933853750, -77.040864942, -0.0872
S N 15, 38.944104668, -77.040884910, -0.0872
S N 16, 38.954355569, -77.040904883, -0.0872
S N 17, 38.964606451, -77.040924862, -0.0872
S N 18, 38.974857315, -77.040944847, -0.0872
S N 19, 38.985108161, -77.040964837, -0.0872
S N 20, 38.995957000, -77.040986000, -0.0872
N S 0, 38.995957000, -77.040986000, 179.9128
N S 1, 38.985706173, -77.040966003, 179.9128
N S 2, 38.975455328, -77.040946013, 179.9128
N S 3, 38.965204465, -77.040926028, 179.9128
N S 4, 38.954953584, -77.040906048, 179.9128
N S 5, 38.944702685, -77.040886075, 179.9128
N S 6, 38.934451768, -77.040866107, 179.9128
N S 7, 38.924200833, -77.040846145, 179.9129
N S 8, 38.913949879, -77.040826189, 179.9129
N S 9, 38.903698908, -77.040806238, 179.9129
N S 10, 38.893447919, -77.040786293, 179.9129
N S 11, 38.883196911, -77.040766354, 179.9129
N S 12, 38.872945886, -77.040746421, 179.9129
N S 13, 38.862694842, -77.040726493, 179.9129
N S 14, 38.852443781, -77.040706571, 179.9129
N S 15, 38.842192701, -77.040686655, 179.9130
N S 16, 38.831941604, -77.040666745, 179.9130
N S 17, 38.821690488, -77.040646840, 179.9130
N S 18, 38.811439354, -77.040626941, 179.9130
N S 19, 38.801188202, -77.040607048, 179.9130
N S 20, 38.790339000, -77.040586000, 179.9130
E W 0, 38.892860000, -76.909166000, -89.8101
E W 1, 38.892893235, -76.922283047, -89.8184
E W 2, 38.892924996, -76.935400107, -89.8266
E W 3, 38.892955284, -76.948517177, -89.8348
E W 4, 38.892984098, -76.961634259, -89.8431
E W 5, 38.893011439, -76.974751351, -89.8513
E W 6, 38.893037306, -76.987868452, -89.8595
E W 7, 38.893061700, -77.000985563, -89.8678
E W 8, 38.893084620, -77.014102683, -89.8760
E W 9, 38.893106067, -77.027219811, -89.8842
E W 10, 38.893126041, -77.040336946, -89.8925
E W 11, 38.893144540, -77.053454088, -89.9007
E W 12, 38.893161567, -77.066571237, -89.9090
E W 13, 38.893177120, -77.079688392, -89.9172
E W 14, 38.893191199, -77.092805553, -89.9254
E W 15, 38.893203805, -77.105922718, -89.9337
E W 16, 38.893214937, -77.119039888, -89.9419
E W 17, 38.893224596, -77.132157061, -89.9501
E W 18, 38.893232781, -77.145274238, -89.9584
E W 19, 38.893239493, -77.158391418, -89.9666
E W 20, 38.893245000, -77.172301000, -89.9748
W E 0, 38.893245000, -77.172301000, 90.0247
W E 1, 38.893239851, -77.159183818, 90.0329
W E 2, 38.893233228, -77.146066638, 90.0411
W E 3, 38.893225132, -77.132949461, 90.0494
W E 4, 38.893215562, -77.119832288, 90.0576
W E 5, 38.893204519, -77.106715118, 90.0658
W E 6, 38.893192002, -77.093597952, 90.0741
W E 7, 38.893178012, -77.080480791, 90.0823
W E 8, 38.893162548, -77.067363636, 90.0905
W E 9, 38.893145611, -77.054246487, 90.0988
W E 10, 38.893127200, -77.041129344, 90.1070
W E 11, 38.893107316, -77.028012208, 90.1153
W E 12, 38.893085958, -77.014895080, 90.1235
W E 13, 38.893063127, -77.001777960, 90.1317
W E 14, 38.893038822, -76.988660848, 90.1400
W E 15, 38.893013043, -76.975543746, 90.1482
W E 16, 38.892985792, -76.962426654, 90.1564
W E 17, 38.892957066, -76.949309571, 90.1647
W E 18, 38.892926868, -76.936192500, 90.1729
W E 19, 38.892895195, -76.923075440, 90.1811
W E 20, 38.892860000, -76.909166000, 90.1894
