Label, Latitude, Longitude, Azimuth_To_Target
NW6 SE4 2, 38.934391700, -77.067315326, 135.0524
NW6 SE4 3, 38.924130813, -77.054204658, 135.0606
NW6 SE4 4, 38.913868436, -77.041097767, 135.0688
NW6 SE4 5, 38.903604569, -77.027994650, 135.0771
NW6 SE4 6, 38.893339215, -77.014895307, 135.0853
NW6 SE4 7, 38.883072373, -77.001799734, 135.0935
NW6 SE4 8, 38.872804046, -76.988707930, 135.1017
NW6 SE4 9, 38.862534233, -76.975619893, 135.1099
NW6 SE4 10, 38.851756000, -76.961890000, 135.1181
SE6 NW4 0, 38.831437000, -76.987973000, -43.1912
SE6 NW4 1, 38.842005715, -77.000660309, -43.1992
SE6 NW4 2, 38.852573033, -77.013351371, -43.2071
SE6 NW4 3, 38.863138953, -77.026046190, -43.2151
SE6 NW4 4, 38.873703472, -77.038744766, -43.2231
SE6 NW4 5, 38.884266592, -77.051447102, -43.2310
SE6 NW4 6, 38.894828310, -77.064153201, -43.2390
SE6 NW4 7, 38.905388626, -77.076863063, -43.2470
SE6 NW4 8, 38.915947540, -77.089576692, -43.2550
SE6 NW4 9, 38.926505048, -77.102294089, -43.2630
SE6 NW4 10, 38.937606000, -77.115672000, -43.2710
NW4 SE6 0, 38.937606000, -77.115672000, 136.7286
NW4 SE6 1, 38.927049969, -77.102950638, 136.7366
NW4 SE6 2, 38.916492532, -77.090233047, 136.7446
NW4 SE6 3, 38.905933692, -77.077519224, 136.7526
NW4 SE6 4, 38.895373448, -77.064809167, 136.7606
NW4 SE6 5, 38.884811802, -77.052102874, 136.7686
NW4 SE6 6, 38.874248755, -77.039400344, 136.7765
NW4 SE6 7, 38.863684307, -77.026701573, 136.7845
NW4 SE6 8, 38.853118460, -77.014006561, 136.7925
NW4 SE6 9, 38.842551214, -77.001315305, 136.8004
NW4 SE6 10, 38.831437000, -76.987973000, 136.8084
SE8 NW2 0, 38.810920000, -77.014250000, -44.9687
SE8 NW2 1, 38.821175859, -77.027346577, -44.9769
SE8 NW2 2, 38.831430232, -77.040446912, -44.9851
SE8 NW2 3, 38.841683118, -77.053551007, -44.9933
SE8 NW2 4, 38.851934514, -77.066658862, -45.0015
SE8 NW2 5, 38.862184422, -77.079770481, -45.0097
SE8 NW2 6, 38.872432839, -77.092885864, -45.0180
SE8 NW2 7, 38.882679765, -77.106005015, -45.0262
SE8 NW2 8, 38.892925198, -77.119127935, -45.0344
SE8 NW2 9, 38.903169138, -77.132254625, -45.0427
SE8 NW2 10, 38.913881000, -77.145987000, -45.0509
NW2 SE8 0, 38.913881000, -77.145987000, 134.9487
NW2 SE8 1, 38.903638623, -77.132856364, 134.9569
NW2 SE8 2, 38.893394751, -77.119729500, 134.9652
NW2 SE8 3, 38.883149386, -77.106606408, 134.9734
NW2 SE8 4, 38.872902529, -77.093487084, 134.9816
