P1,P1_lat,P1_lon,P2,P2_lat,P2_lon,Dist,Az12,Az21,BackAz12,BackAz21,Reason
K,38.892755,-77.051435,CFg,38.89361386946052,-77.00907795602103,2.2841515328473334,88.50042392867176,268.5270186668602,88.52701866686022,268.50042392867175,Az12 Half
K,38.892755,-77.051435,CptB,38.88556174596554,-77.00988737303246,2.2941776009428607,102.47783536646108,282.50391962327296,102.50391962327296,282.4778353664611,Az21 Half
K,38.892755,-77.051435,B,38.892747285,-77.008989,2.2881924692033366,90.00000060968448,270.0266509509012,90.02665095090123,270.0000006096845,Az12 Whole
K,38.892755,-77.051435,Gs1,38.93539090046842,-77.11877083238855,4.671034554623639,309.0445275579546,129.00223026679032,309.0022302667903,129.0445275579546,Az21 Whole
K,38.892755,-77.051435,Gs2,38.86573364111086,-76.96785270415687,4.876887911612317,112.44375201378092,292.4962150478005,112.49621504780049,292.4437520137809,Az21 Half
K,38.892755,-77.051435,KS,38.790339,-77.051444,7.064649990034239,180.0039405152899,0.003934870768716792,180.00393487076872,0.003940515289912128,"Az12 Whole, Az21 Whole"
K,38.892755,-77.051435,Chk16,38.95984790558003,-77.02680651074166,4.814632282439763,15.991806325292876,196.00728090641869,16.007280906418714,195.99180632529288,Az21 Whole
K,38.892755,-77.051435,Chk25,38.9229071947,-77.03584297932892,2.2432736698348688,21.995564468053217,202.00535733982247,22.005357339822467,201.9955644680532,Az21 Whole
K,38.892755,-77.051435,Chk32,38.95878698101598,-77.05142116747349,4.55494831271703,0.009371172790669865,180.00937986394888,0.009379863948879574,180.00937117279068,"Az12 Whole, Az21 Whole"
K,38.892755,-77.051435,Chk39,38.8974237158863,-76.91182568346446,7.532743341397593,87.50583257213748,267.5934927795047,87.59349277950469,267.5058325721375,Az12 Half
K,38.892755,-77.051435,Chk43,38.94312493001874,-77.0192667064925,3.8829991537014115,26.50539898560396,206.52560732551245,26.525607325512453,206.50539898560396,Az12 Half
K,38.892755,-77.051435,Chk55,38.71079049783587,-77.0352088314432,12.582335538386626,176.00340096362052,356.0135687468336,176.01356874683358,356.0034009636205,Az12 Whole
K,38.892755,-77.051435,H99,38.8889443857454,-77.00096480083693,2.7335037942115448,95.50233850396414,275.5340256525827,95.53402565258273,275.50233850396415,Az12 Half
K,38.892755,-77.051435,H70b,38.91008217241069,-76.97878782846644,4.094162980852605,73.00320570112095,253.04882684511605,73.04882684511608,253.00320570112095,Az12 Whole
K,38.892755,-77.051435,H81,38.88687029383775,-76.9299762903957,6.5604744477127195,93.50931961749679,273.5855744097147,93.5855744097147,273.50931961749677,Az12 Half
K,38.892755,-77.051435,H28,38.90499081362246,-77.12853595395019,4.240865861563888,281.50409608350793,101.45568070836109,281.4556807083611,101.50409608350793,Az12 Half
K,38.892755,-77.051435,SF01,38.90124200833564,-77.08586335465753,1.9460139557262923,287.51887397665837,107.49725564498316,287.49725564498317,107.51887397665837,Az21 Half
J,38.889801,-77.03656908080315,WH,38.89778875877805,-77.036569,0.5510000984199893,0.0004529229508371698,180.0004529736854,0.00045297368541241667,180.00045292295084,"Az12 Whole, Az21 Whole"
J,38.889801,-77.03656908080315,Cap,38.889801,-77.009227,1.4740265288238348,89.99141698558236,270.00858301441764,90.00858301441764,269.99141698558236,Az21 Whole
J,38.889801,-77.03656908080315,CapK,38.889801,-77.00904745,1.483706167442211,89.99136062263452,270.0086393773655,90.00863937736551,269.9913606226345,Az21 Whole
J,38.889801,-77.03656908080315,CptB,38.88556174596554,-77.00988737303246,1.4678908799164496,101.48268022764272,281.49943088978955,101.49943088978955,281.48268022764273,Az21 Half
J,38.889801,-77.03656908080315,La,38.88816903625909,-77.05145152722608,0.8101890358637355,262.0177285760474,82.00838517627014,262.00838517627017,82.01772857604738,Az21 Whole
J,38.889801,-77.03656908080315,Chk63,38.89999431930673,-77.036569,0.7031410388072536,0.00035491154343673855,180.00035496227923,0.0003549622792320406,180.00035491154344,"Az12 Whole, Az21 Whole"
J,38.889801,-77.03656908080315,OtrD,38.88972524047381,-76.91344596466341,6.637639628062162,90.00646013237507,270.08375979786763,90.08375979786763,270.0064601323751,Az12 Whole
J,38.889801,-77.03656908080315,H22,38.92823446130691,-77.06004232078331,2.937551595037013,334.49730872920395,154.48256552571246,334.48256552571246,154.49730872920395,Az12 Half
J,38.889801,-77.03656908080315,H86,38.810462075372,-76.99664817839795,5.881198941099368,158.50959476317126,338.5346365714865,158.53463657148654,338.50959476317126,Az12 Half
J,38.889801,-77.03656908080315,Pk04,38.77550687860945,-78.20406185227269,63.48158545721927,263.2321678056029,82.50007815247069,262.5000781524707,83.2321678056029,Az21 Half
Hk,38.8951366,-77.051444,H71,38.88981684871572,-77.00844224089784,2.347026047854408,98.98164546232489,279.00864458476104,99.00864458476104,278.9816454623249,Az21 Whole
Hk,38.8951366,-77.051444,KS,38.790339,-77.051444,7.2289340866823295,180.0,0.0,180.0,0.0,"Az12 Whole, Az21 Whole"
Hk,38.8951366,-77.051444,Chk30,38.87080074981925,-77.14434316078132,5.282550639164677,251.5003430112721,71.44202725451596,251.44202725451595,71.5003430112721,Az12 Half
Hk,38.8951366,-77.051444,Chk47,38.94812410619182,-77.00484480332231,4.434568388212269,34.47438132033278,214.5036575873816,34.50365758738161,214.47438132033278,Az21 Half
Hk,38.8951366,-77.051444,Chk59,39.01004268273348,-77.04244035387981,7.941188405181597,3.498369819619058,183.50403020873023,3.504030208730228,183.49836981961906,"Az12 Half, Az21 Half"
Hk,38.8951366,-77.051444,Chk62,38.90537641569407,-77.02133073015519,1.7702140966029782,66.4736806610056,246.4925907872717,66.4925907872717,246.4736806610056,Az21 Half
Hk,38.8951366,-77.051444,H77,38.89703882730361,-77.03762786655247,0.7562404890178771,80.00358797486604,260.01226326208484,80.01226326208484,260.00358797486604,Az12 Whole
Hk,38.8951366,-77.051444,H43,38.87451597139456,-77.146392815978,5.313045968747442,254.50103714164817,74.44143235491823,254.44143235491822,74.50103714164817,Az12 Half
Hk,38.8951366,-77.051444,H60,38.93132296535497,-76.91720945574568,7.6528182821078286,70.92102538958152,251.00534387164544,71.00534387164544,250.92102538958153,Az21 Whole
NOa,38.92154464050518,-77.06705128052432,CFf,38.88868578496108,-77.00467871165168,4.054554282778988,123.96930995065286,304.0084819571383,124.00848195713832,303.96930995065287,Az21 Whole
NOa,38.92154464050518,-77.06705128052432,Chk13,38.97800673083694,-77.0340714747954,4.2808266776046064,24.507778165250997,204.52851055754505,24.52851055754502,204.507778165251,Az12 Half
NOa,38.92154464050518,-77.06705128052432,H28,38.90499081362246,-77.12853595395019,3.5048179045068313,251.00480580398616,70.96618461842506,250.96618461842507,71.00480580398619,Az12 Whole
