Label, Step, Latitude, Longitude, Azimuth_To_Target
SE7 NW3 5, 5, 38.872698827, -77.066320784, -44.7435
SE7 NW3 6, 6, 38.882994764, -77.079377034, -44.7517
SE7 NW3 7, 7, 38.893289223, -77.092437053, -44.7599
SE7 NW3 8, 8, 38.903582202, -77.105500842, -44.7681
SE7 NW3 9, 9, 38.913873701, -77.118568404, -44.7763
SE7 NW3 10, 10, 38.924633000, -77.132236000, -44.7845
NW3 SE7 0, 0, 38.924633000, -77.132236000, 135.2151
NW3 SE7 1, 1, 38.914343050, -77.119164491, 135.2233
NW3 SE7 2, 2, 38.904051618, -77.106096757, 135.2315
NW3 SE7 3, 3, 38.893758706, -77.093032795, 135.2397
NW3 SE7 4, 4, 38.883464315, -77.079972605, 135.2479
NW3 SE7 5, 5, 38.873168446, -77.066916183, 135.2561
NW3 SE7 6, 6, 38.862871099, -77.053863528, 135.2643
NW3 SE7 7, 7, 38.852572275, -77.040814639, 135.2725
NW3 SE7 8, 8, 38.842271976, -77.027769512, 135.2807
NW3 SE7 9, 9, 38.831970202, -77.014728147, 135.2889
NW3 SE7 10, 10, 38.821197000, -77.001096000, 135.2970
SE9 NW1 0, 0, 38.803728000, -77.023569000, -46.6762
SE9 NW1 1, 1, 38.813673980, -77.037049030, -46.6847
SE9 NW1 2, 2, 38.823618386, -77.050532809, -46.6931
SE9 NW1 3, 3, 38.833561220, -77.064020340, -46.7016
SE9 NW1 4, 4, 38.843502478, -77.077511623, -46.7100
SE9 NW1 5, 5, 38.853442161, -77.091006662, -46.7185
SE9 NW1 6, 6, 38.863380268, -77.104505457, -46.7270
SE9 NW1 7, 7, 38.873316797, -77.118008011, -46.7354
SE9 NW1 8, 8, 38.883251747, -77.131514325, -46.7439
SE9 NW1 9, 9, 38.893185118, -77.145024401, -46.7524
SE9 NW1 10, 10, 38.903562000, -77.159144000, -46.7609
NW1 SE9 0, 0, 38.903562000, -77.159144000, 133.2387
NW1 SE9 1, 1, 38.893630280, -77.145629991, 133.2472
NW1 SE9 2, 2, 38.883696980, -77.132119747, 133.2557
NW1 SE9 3, 3, 38.873762101, -77.118613264, 133.2642
NW1 SE9 4, 4, 38.863825642, -77.105110542, 133.2726
NW1 SE9 5, 5, 38.853887607, -77.091611578, 133.2811
NW1 SE9 6, 6, 38.843947994, -77.078116371, 133.2896
NW1 SE9 7, 7, 38.834006806, -77.064624919, 133.2980
NW1 SE9 8, 8, 38.824064044, -77.051137220, 133.3065
NW1 SE9 9, 9, 38.814119707, -77.037653273, 133.3150
NW1 SE9 10, 10, 38.803728000, -77.023569000, 133.3234
SW2 NE8 0, 0, 38.807592000, -77.062638000, 43.1540
SW2 NE8 1, 1, 38.818167197, -77.049963692, 43.1620
SW2 NE8 2, 2, 38.828740999, -77.037285634, 43.1699
SW2 NE8 3, 3, 38.839313405, -77.024603826, 43.1779
SW2 NE8 4, 4, 38.849884416, -77.011918264, 43.1858
SW2 NE8 5, 5, 38.860454029, -76.999228947, 43.1938
SW2 NE8 6, 6, 38.871022243, -76.986535872, 43.2018
SW2 NE8 7, 7, 38.881589059, -76.973839039, 43.2097
SW2 NE8 8, 8, 38.892154475, -76.961138444, 43.2177
SW2 NE8 9, 9, 38.902718489, -76.948434085, 43.2257
SW2 NE8 10, 10, 38.913483000, -76.935483000, 43.2337
NE8 SW2 0, 0, 38.913483000, -76.935483000, -136.7662
NE8 SW2 1, 1, 38.902920414, -76.948191196, -136.7742
NE8 SW2 2, 2, 38.892356426, -76.960895626, -136.7821
NE8 SW2 3, 3, 38.881791037, -76.973596293, -136.7901
NE8 SW2 4, 4, 38.871224248, -76.986293199, -136.7981
NE8 SW2 5, 5, 38.860656060, -76.998986345, -136.8061
NE8 SW2 6, 6, 38.850086474, -77.011675734, -136.8140
NE8 SW2 7, 7, 38.839515491, -77.024361368, -136.8220
NE8 SW2 8, 8, 38.828943111, -77.037043248, -136.8299
NE8 SW2 9, 9, 38.818369335, -77.049721377, -136.8379
NE8 SW2 10, 10, 38.807592000, -77.062638000, -136.8458
SW4 NE6 0, 0, 38.831543000, -77.093187000, 45.2068
SW4 NE6 1, 1, 38.841756137, -77.080032246, 45.2151
SW4 NE6 2, 2, 38.851967775, -77.066873730, 45.2233
SW4 NE6 3, 3, 38.862177912, -77.053711452, 45.2316
SW4 NE6 4, 4, 38.872386548, -77.040545408, 45.2399
SW4 NE6 5, 5, 38.882593680, -77.027375598, 45.2481
SW4 NE6 6, 6, 38.892799310, -77.014202018, 45.2564
SW4 NE6 7, 7, 38.903003434, -77.001024668, 45.2647
SW4 NE6 8, 8, 38.913206054, -76.987843546, 45.2730
SW4 NE6 9, 9, 38.923407167, -76.974658649, 45.2812
SW4 NE6 10, 10, 38.933715000, -76.961330000, 45.2895
NE6 SW4 0, 0, 38.933715000, -76.961330000, -134.7104
NE6 SW4 1, 1, 38.923515411, -76.974518713, -134.7187
NE6 SW4 2, 2, 38.913314314, -76.987703650, -134.7270
NE6 SW4 3, 3, 38.903111711, -77.000884813, -134.7352
NE6 SW4 4, 4, 38.892907602, -77.014062203, -134.7435
NE6 SW4 5, 5, 38.882701988, -77.027235822, -134.7518
NE6 SW4 6, 6, 38.872494872, -77.040405672, -134.7601
NE6 SW4 7, 7, 38.862286252, -77.053571756, -134.7683
