P1,P1_lat,P1_lon,P2,P2_lat,P2_lon,Dist,Az12,Az21,BackAz12,BackAz21,Reason
K,38.892755,-77.051435,B,38.892747285,-77.008989,2.2881924692033366,90.00000060968448,270.0266509509012,90.02665095090123,270.0000006096845,"Az12 multiple:15.00, Az12 multiple:18.00"
K,38.892755,-77.051435,H70b,38.91008217241069,-76.97878782846644,4.094162980852605,73.00320570112095,253.04882684511605,73.04882684511608,253.00320570112095,Az12 target:73.00
J,38.889801,-77.03656908080315,WHs,38.897561,-77.036569,0.5352891591902932,0.00046621789982632966,180.00046626863428,0.0004662686342840061,180.00046621789983,"Az12 multiple:15.00, Az12 multiple:18.00, Az21 multiple:15.00, Az21 multiple:18.00"
J,38.889801,-77.03656908080315,WHn,38.89787121557463,-77.036569,0.5566880186218108,0.0004482947244376237,180.00044834545906,0.0004483454590626934,180.00044829472444,"Az12 multiple:15.00, Az12 multiple:18.00, Az21 multiple:15.00, Az21 multiple:18.00"
J,38.889801,-77.03656908080315,WHa,38.89828563763562,-77.036569,0.585275106778735,0.00042639580705447657,180.0004264465419,0.0004264465418941654,180.00042639580707,"Az12 multiple:15.00, Az12 multiple:18.00, Az21 multiple:15.00, Az21 multiple:18.00"
J,38.889801,-77.03656908080315,WHb,38.89609664728791,-77.03656881060775,0.4342772321286322,0.0019216262537449002,180.00192179590059,0.0019217959005572993,180.00192162625373,"Az12 multiple:15.00, Az12 multiple:18.00, Az21 multiple:15.00, Az21 multiple:18.00"
J,38.889801,-77.03656908080315,Chk28,38.95399489057218,-77.0776296316338,4.950164566071566,333.46312336346676,153.4373266386156,333.43732663861556,153.46312336346682,Az21 target:153.44
J,38.889801,-77.03656908080315,Chk63,38.89999431930673,-77.036569,0.7031410388072536,0.00035491154343673855,180.00035496227923,0.0003549622792320406,180.00035491154344,"Az12 multiple:15.00, Az12 multiple:18.00, Az21 multiple:15.00, Az21 multiple:18.00"
Hk,38.8951366,-77.051444,KS,38.790339,-77.051444,7.2289340866823295,180.0,0.0,180.0,0.0,"Az12 multiple:15.00, Az12 multiple:18.00, Az21 multiple:15.00, Az21 multiple:18.00"
P,38.87100323118176,-77.05596854698287,H20,38.9230873705844,-77.07763287849671,3.7778267408119848,342.00034798048154,161.98674444859597,341.98674444859597,162.0003479804816,Az12 multiple:18.00
PenE,38.87062329503496,-77.05322825200388,PO,38.93449309999998,-77.1199159,5.686080747235832,320.8111232839902,140.76924357804498,320.769243578045,140.81112328399018,Az21 target:140.77
PenG,38.87292974342279,-77.05467449297677,Bs,38.892752,-77.00889,2.8219091316834866,61.00282885986975,241.03156915911575,61.03156915911575,241.00282885986974,Az12 target:61.00
PenB,38.87273680802001,-77.05628256361138,elNc,38.89344928705847,-77.04098558,1.6497120068708409,29.990799891748146,210.0004023192394,30.000402319239413,209.99079989174814,Az21 multiple:15.00
PenB,38.87273680802001,-77.05628256361138,I014,38.90564871624386,-77.03197530601018,2.6213346499625954,29.986348425023646,210.0016089171768,30.00160891717678,209.98634842502364,Az21 multiple:15.00
PenB,38.87273680802001,-77.05628256361138,H70a,38.87147694689254,-77.06775220195667,0.6245636880813297,262.00516089971813,81.99796273688877,261.9979627368888,82.00516089971813,Az21 target:82.00
PenA,38.872552231854,-77.05790028667388,Chk13,38.97800673083694,-77.0340714747954,7.386798022578347,10.002605059149854,190.0175768598191,10.017576859819087,190.00260505914986,Az12 target:10.00
PenD,38.87004437347602,-77.05846414671291,Chk13,38.97800673083694,-77.0340714747954,7.562442611185816,10.001467975753808,190.01679363843593,10.016793638435956,190.0014679757538,Az12 target:10.00
NOa,38.92154464050518,-77.06705128052432,Chk48,38.90721119681356,-77.0365266731042,1.9193017446708913,120.99804053659807,301.0172148234995,121.0172148234995,300.99804053659807,Az12 target:121.00
HighWb,38.80859367009808,-77.06728222257168,WHa,38.89828563763562,-77.036569,6.404906318155955,14.980168556533247,194.9994359017196,14.999435901719608,194.98016855653324,Az21 multiple:15.00
WHs,38.897561,-77.036569,WHn,38.89787121557463,-77.036569,0.021398859431007004,0.0,180.0,0.0,180.0,"Az12 multiple:15.00, Az12 multiple:18.00, Az21 multiple:15.00, Az21 multiple:18.00"
