Label, Step, Latitude, Longitude, Azimuth_To_Target
E W 0, 0, 38.892860000, -76.909166000, -89.8101
E W 1, 1, 38.892906559, -76.927711987, -89.8218
E W 2, 2, 38.892950172, -76.946257997, -89.8334
E W 3, 3, 38.892990840, -76.964804030, -89.8451
E W 4, 4, 38.893028562, -76.983350082, -89.8567
E W 5, 5, 38.893063339, -77.001896154, -89.8683
E W 6, 6, 38.893095170, -77.020442243, -89.8800
E W 7, 7, 38.893124055, -77.038988347, -89.8916
E W 8, 8, 38.893149995, -77.057534466, -89.9033
E W 9, 9, 38.893172989, -77.076080598, -89.9149
E W 10, 10, 38.893193037, -77.094626741, -89.9266
E W 11, 11, 38.893210140, -77.113172893, -89.9382
E W 12, 12, 38.893224297, -77.131719054, -89.9499
E W 13, 13, 38.893235508, -77.150265221, -89.9615
E W 14, 14, 38.893245000, -77.172301000, -89.9731
W E 0, 0, 38.893245000, -77.172301000, 90.0247
W E 1, 1, 38.893237289, -77.153754827, 90.0363
W E 2, 2, 38.893226631, -77.135208659, 90.0480
W E 3, 3, 38.893213029, -77.116662497, 90.0596
W E 4, 4, 38.893196480, -77.098116343, 90.0712
W E 5, 5, 38.893176986, -77.079570198, 90.0829
W E 6, 6, 38.893154546, -77.061024064, 90.0945
W E 7, 7, 38.893129161, -77.042477943, 90.1062
W E 8, 8, 38.893100830, -77.023931835, 90.1178
W E 9, 9, 38.893069553, -77.005385743, 90.1295
W E 10, 10, 38.893035331, -76.986839668, 90.1411
W E 11, 11, 38.892998163, -76.968293612, 90.1528
W E 12, 12, 38.892958049, -76.949747576, 90.1644
W E 13, 13, 38.892914990, -76.931201561, 90.1760
W E 14, 14, 38.892860000, -76.909166000, 90.1877
SW1 NE9 0, 0, 38.801244000, -77.054393000, 45.3354
SW1 NE9 1, 1, 38.830606805, -77.016403780, 45.3592
SW1 NE9 2, 2, 38.859957099, -76.978383342, 45.3830
SW1 NE9 3, 3, 38.903169000, -76.922320000, 45.4069
NE9 SW1 0, 0, 38.903169000, -76.922320000, -134.5818
NE9 SW1 1, 1, 38.873837178, -76.960386509, -134.6057
NE9 SW1 2, 2, 38.844492811, -76.998421732, -134.6295
NE9 SW1 3, 3, 38.801244000, -77.054393000, -134.6534
SW3 NE7 0, 0, 38.820653000, -77.079320000, 44.6839
SW3 NE7 1, 1, 38.850351824, -77.041749797, 44.7074
SW3 NE7 2, 2, 38.880038402, -77.004148343, 44.7310
SW3 NE7 3, 3, 38.923788000, -76.948649000, 44.7546
NE7 SW3 0, 0, 38.923788000, -76.948649000, -135.2341
NE7 SW3 1, 1, 38.894119519, -76.986296616, -135.2578
NE7 SW3 2, 2, 38.864438759, -77.023912914, -135.2814
NE7 SW3 3, 3, 38.820653000, -77.079320000, -135.3050
SW7 NE3 0, 0, 38.862372000, -77.132726000, 44.8116
SW7 NE3 1, 1, 38.892005026, -77.095049247, 44.8352
SW7 NE3 2, 2, 38.921625734, -77.057341177, 44.8589
SW7 NE3 3, 3, 38.965273000, -77.001690990, 44.8826
NE3 SW7 0, 0, 38.965273000, -77.001690990, -135.1061
NE3 SW7 1, 1, 38.935670493, -77.039445314, -135.1299
NE3 SW7 2, 2, 38.906055635, -77.077168253, -135.1536
NE3 SW7 3, 3, 38.862372000, -77.132726000, -135.1772
SW9 NE1 0, 0, 38.882943000, -77.159090000, 44.9337
SW9 NE1 1, 1, 38.912513068, -77.121321639, 44.9574
SW9 NE1 2, 2, 38.942070759, -77.083521930, 44.9811
SW9 NE1 3, 3, 38.985620000, -77.027743000, 45.0049
NE1 SW9 0, 0, 38.985620000, -77.027743000, -134.9838
NE1 SW9 1, 1, 38.956080598, -77.065589006, -135.0076
NE1 SW9 2, 2, 38.926528785, -77.103403595, -135.0314
NE1 SW9 3, 3, 38.882943000, -77.159090000, -135.0551
NW1 SE9 0, 0, 38.903562000, -77.159144000, 133.2387
NW1 SE9 1, 1, 38.874935405, -77.120208063, 133.2632
NW1 SE9 2, 2, 38.846295699, -77.081303359, 133.2876
NW1 SE9 3, 3, 38.803728000, -77.023568990, 133.3120
SE9 NW1 0, 0, 38.803728000, -77.023568990, -46.6762
SE9 NW1 1, 1, 38.832387140, -77.062427377, -46.7006
SE9 NW1 2, 2, 38.861033203, -77.101316934, -46.7250
SE9 NW1 3, 3, 38.903562000, -77.159144000, -46.7494
NW3 SE7 0, 0, 38.924633000, -77.132236000, 135.2151
NW3 SE7 1, 1, 38.894974285, -77.094575337, 135.2388
NW3 SE7 2, 2, 38.865303283, -77.056945995, 135.2624
NW3 SE7 3, 3, 38.821197000, -77.001096000, 135.2860
SE7 NW3 0, 0, 38.821197000, -77.001096000, -44.7026
SE7 NW3 1, 1, 38.850886217, -77.038678894, -44.7262
SE7 NW3 2, 2, 38.880563180, -77.076293039, -44.7498
SE7 NW3 3, 3, 38.924633000, -77.132236000, -44.7734
NW7 SE3 0, 0, 38.965182000, -77.080403000, 134.9655
NW7 SE3 1, 1, 38.935651931, -77.042555784, 134.9893
NW7 SE3 2, 2, 38.906109451, -77.004739952, 135.0130
NW7 SE3 3, 3, 38.862161000, -76.948571000, 135.0368
SE3 NW7 0, 0, 38.862161000, -76.948571000, -44.9517
SE3 NW7 1, 1, 38.891721890, -76.986340251, -44.9754
SE3 NW7 2, 2, 38.921270404, -77.024140819, -44.9991
SE3 NW7 3, 3, 38.965182000, -77.080403000, -45.0229
NW9 SE1 0, 0, 38.985699000, -77.054129000, 134.9835
NW9 SE1 1, 1, 38.956159739, -77.016282772, 135.0073
NW9 SE1 2, 2, 38.926608066, -76.978467962, 135.0311
NW9 SE1 3, 3, 38.882640000, -76.922293000, 135.0548
SE1 NW9 0, 0, 38.882640000, -76.922293000, -44.9336
SE1 NW9 1, 1, 38.912210088, -76.960061177, -44.9574
SE1 NW9 2, 2, 38.941767798, -76.997860702, -44.9811
SE1 NW9 3, 3, 38.985699000, -77.054129000, -45.0049
SW2 NE8 0, 0, 38.807592000, -77.062638000, 43.1540
SW2 NE8 1, 1, 38.822547411, -77.044712444, 43.1653
SW2 NE8 2, 2, 38.837500032, -77.026779389, 43.1765
SW2 NE8 3, 3, 38.852449860, -77.008838827, 43.1878
SW2 NE8 4, 4, 38.867396893, -76.990890753, 43.1990
SW2 NE8 5, 5, 38.882341129, -76.972935162, 43.2103
SW2 NE8 6, 6, 38.897282564, -76.954972048, 43.2216
SW2 NE8 7, 7, 38.913483000, -76.935483000, 43.2329
NE8 SW2 0, 0, 38.913483000, -76.935483000, -136.7662
NE8 SW2 1, 1, 38.898544605, -76.953454280, -136.7775
NE8 SW2 2, 2, 38.883603406, -76.971418030, -136.7888
NE8 SW2 3, 3, 38.868659407, -76.989374256, -136.8000
NE8 SW2 4, 4, 38.853712610, -77.007322964, -136.8113
NE8 SW2 5, 5, 38.838763018, -77.025264160, -136.8225
NE8 SW2 6, 6, 38.823810633, -77.043197850, -136.8338
NE8 SW2 7, 7, 38.807592000, -77.062638000, -136.8450
SW4 NE6 0, 0, 38.831543000, -77.093187000, 45.2068
SW4 NE6 1, 1, 38.845986343, -77.074581977, 45.2185
SW4 NE6 2, 2, 38.860426686, -77.055969430, 45.2302
SW4 NE6 3, 3, 38.874864025, -77.037349353, 45.2419
SW4 NE6 4, 4, 38.889298359, -77.018721742, 45.2536
SW4 NE6 5, 5, 38.903729684, -77.000086590, 45.2653
SW4 NE6 6, 6, 38.918157998, -76.981443892, 45.2770
SW4 NE6 7, 7, 38.933715000, -76.961330000, 45.2887
NE6 SW4 0, 0, 38.933715000, -76.961330000, -134.7104
NE6 SW4 1, 1, 38.919289936, -76.979980841, -134.7221
NE6 SW4 2, 2, 38.904861859, -76.998624131, -134.7338
NE6 SW4 3, 3, 38.890430769, -77.017259875, -134.7455
NE6 SW4 4, 4, 38.875996672, -77.035888078, -134.7572
NE6 SW4 5, 5, 38.861559568, -77.054508745, -134.7689
NE6 SW4 6, 6, 38.847119461, -77.073121883, -134.7806
NE6 SW4 7, 7, 38.831543000, -77.093187000, -134.7922
SW6 NE4 0, 0, 38.851832000, -77.119264000, 44.8207
SW6 NE4 1, 1, 38.866373048, -77.100778620, 44.8323
SW6 NE4 2, 2, 38.880911132, -77.082285708, 44.8439
SW6 NE4 3, 3, 38.895446250, -77.063785259, 44.8555
SW6 NE4 4, 4, 38.909978400, -77.045277268, 44.8671
SW6 NE4 5, 5, 38.924507578, -77.026761728, 44.8787
SW6 NE4 6, 6, 38.939033782, -77.008238634, 44.8904
SW6 NE4 7, 7, 38.954733000, -76.988207000, 44.9020
NE4 SW6 0, 0, 38.954733000, -76.988207000, -135.0970
NE4 SW6 1, 1, 38.940210014, -77.006738265, -135.1087
NE4 SW6 2, 2, 38.925684051, -77.025261971, -135.1203
NE4 SW6 3, 3, 38.911155113, -77.043778122, -135.1320
NE4 SW6 4, 4, 38.896623204, -77.062286725, -135.1436
NE4 SW6 5, 5, 38.882088326, -77.080787785, -135.1552
NE4 SW6 6, 6, 38.867550482, -77.099281307, -135.1668
NE4 SW6 7, 7, 38.851832000, -77.119264000, -135.1784
SW8 NE2 0, 0, 38.872671000, -77.145945000, 44.9379
SW8 NE2 1, 1, 38.887182386, -77.127416193, 44.9495
SW8 NE2 2, 2, 38.901690796, -77.108879847, 44.9612
SW8 NE2 3, 3, 38.916196225, -77.090335955, 44.9728
SW8 NE2 4, 4, 38.930698671, -77.071784513, 44.9845
SW8 NE2 5, 5, 38.945198132, -77.053225514, 44.9961
SW8 NE2 6, 6, 38.959694604, -77.034658954, 45.0078
SW8 NE2 7, 7, 38.975351000, -77.014594000, 45.0195
NE2 SW8 0, 0, 38.975351000, -77.014594000, -134.9796
NE2 SW8 1, 1, 38.960857758, -77.033168734, -134.9913
NE2 SW8 2, 2, 38.946361526, -77.051735901, -135.0029
NE2 SW8 3, 3, 38.931862305, -77.070295506, -135.0146
NE2 SW8 4, 4, 38.917360098, -77.088847555, -135.0263
NE2 SW8 5, 5, 38.902854908, -77.107392052, -135.0379
NE2 SW8 6, 6, 38.888346738, -77.125929004, -135.0495
NE2 SW8 7, 7, 38.872671000, -77.145945000, -135.0612
NW2 SE8 0, 0, 38.913881000, -77.145987000, 134.9487
NW2 SE8 1, 1, 38.899395428, -77.127418293, 134.9603
NW2 SE8 2, 2, 38.884906868, -77.108857129, 134.9720
NW2 SE8 3, 3, 38.870415323, -77.090303505, 134.9836
NW2 SE8 4, 4, 38.855920795, -77.071757414, 134.9953
NW2 SE8 5, 5, 38.841423288, -77.053218852, 135.0069
NW2 SE8 6, 6, 38.826922804, -77.034687812, 135.0185
NW2 SE8 7, 7, 38.810920000, -77.014250000, 135.0301
SE8 NW2 0, 0, 38.810920000, -77.014250000, -44.9687
SE8 NW2 1, 1, 38.825423766, -77.032772746, -44.9803
SE8 NW2 2, 2, 38.839924557, -77.051303009, -44.9919
SE8 NW2 3, 3, 38.854422372, -77.069840794, -45.0035
SE8 NW2 4, 4, 38.868917208, -77.088386106, -45.0152
SE8 NW2 5, 5, 38.883409061, -77.106938951, -45.0268
SE8 NW2 6, 6, 38.897897930, -77.125499335, -45.0384
SE8 NW2 7, 7, 38.913881000, -77.145987000, -45.0501
NW4 SE6 0, 0, 38.937606000, -77.115672000, 136.7286
NW4 SE6 1, 1, 38.922676873, -77.097682102, 136.7399
NW4 SE6 2, 2, 38.907744937, -77.079699744, 136.7512
NW4 SE6 3, 3, 38.892810195, -77.061724919, 136.7625
NW4 SE6 4, 4, 38.877872648, -77.043757622, 136.7738
NW4 SE6 5, 5, 38.862932299, -77.025797846, 136.7851
NW4 SE6 6, 6, 38.847989152, -77.007845587, 136.7963
NW4 SE6 7, 7, 38.831437000, -76.987973000, 136.8076
SE6 NW4 0, 0, 38.831437000, -76.987973000, -43.1912
SE6 NW4 1, 1, 38.846383244, -77.005916942, -43.2025
SE6 NW4 2, 2, 38.861326692, -77.023868395, -43.2137
SE6 NW4 3, 3, 38.876267341, -77.041827362, -43.2250
SE6 NW4 4, 4, 38.891205189, -77.059793851, -43.2363
SE6 NW4 5, 5, 38.906140233, -77.077767867, -43.2476
SE6 NW4 6, 6, 38.921072471, -77.095749415, -43.2589
SE6 NW4 7, 7, 38.937606000, -77.115672000, -43.2702
NW6 SE4 0, 0, 38.954909000, -77.093548000, 135.0361
NW6 SE4 1, 1, 38.940401416, -77.074996914, 135.0477
NW6 SE4 2, 2, 38.925890848, -77.056453388, 135.0594
NW6 SE4 3, 3, 38.911377300, -77.037917416, 135.0710
NW6 SE4 4, 4, 38.896860774, -77.019388993, 135.0827
NW6 SE4 5, 5, 38.882341273, -77.000868113, 135.0943
NW6 SE4 6, 6, 38.867818800, -76.982354771, 135.1059
NW6 SE4 7, 7, 38.851756000, -76.961890990, 135.1175
SE4 NW6 0, 0, 38.851756000, -76.961890990, -44.8812
SE4 NW6 1, 1, 38.866281757, -76.980396002, -44.8928
SE4 NW6 2, 2, 38.880804545, -76.998908547, -44.9045
SE4 NW6 3, 3, 38.895324361, -77.017428629, -44.9161
SE4 NW6 4, 4, 38.909841202, -77.035956253, -44.9277
SE4 NW6 5, 5, 38.924355065, -77.054491426, -44.9394
SE4 NW6 6, 6, 38.938865948, -77.073034152, -44.9510
SE4 NW6 7, 7, 38.954909000, -77.093548000, -44.9627
NW8 SE2 0, 0, 38.975442000, -77.067267000, 134.9703
NW8 SE2 1, 1, 38.960951101, -77.048689243, 134.9820
NW8 SE2 2, 2, 38.946457209, -77.030119054, 134.9937
NW8 SE2 3, 3, 38.931960329, -77.011556427, 135.0053
NW8 SE2 4, 4, 38.917460461, -76.993001357, 135.0170
NW8 SE2 5, 5, 38.902957610, -76.974453837, 135.0287
NW8 SE2 6, 6, 38.888451777, -76.955913864, 135.0403
NW8 SE2 7, 7, 38.872410000, -76.935424000, 135.0519
SE2 NW8 0, 0, 38.872410000, -76.935424000, -44.9468
SE2 NW8 1, 1, 38.886919126, -76.953955637, -44.9585
SE2 NW8 2, 2, 38.901425273, -76.972494814, -44.9701
SE2 NW8 3, 3, 38.915928439, -76.991041536, -44.9818
SE2 NW8 4, 4, 38.930428622, -77.009595809, -44.9934
SE2 NW8 5, 5, 38.944925819, -77.028157637, -45.0051
SE2 NW8 6, 6, 38.959420026, -77.046727027, -45.0168
SE2 NW8 7, 7, 38.975442000, -77.067267000, -45.0284
RCPO KAP 0, 0, 38.899574000, -77.057407000, 149.2183
RCPO KAP 1, 1, 38.887121708, -77.047916456, 149.2242
RCPO KAP 2, 2, 38.874668619, -77.038429225, 149.2302
RCPO KAP 3, 3, 38.855142000, -77.023561000, 149.2361
KAP RCPO 0, 0, 38.855142000, -77.023561000, -30.7605
KAP RCPO 1, 1, 38.867596339, -77.033043041, -30.7664
KAP RCPO 2, 2, 38.880049881, -77.042528392, -30.7724
KAP RCPO 3, 3, 38.899574000, -77.057407000, -30.7784
PO KAP 0, 0, 38.934493080, -77.119915860, 136.4706
PO KAP 1, 1, 38.923984181, -77.107137100, 136.4786
PO KAP 2, 2, 38.913473865, -77.094362110, 136.4866
PO KAP 3, 3, 38.902962132, -77.081590888, 136.4947
PO KAP 4, 4, 38.892448984, -77.068823432, 136.5027
PO KAP 5, 5, 38.881934421, -77.056059739, 136.5107
PO KAP 6, 6, 38.871418445, -77.043299809, 136.5187
PO KAP 7, 7, 38.855142000, -77.023561000, 136.5267
KAP PO 0, 0, 38.855142000, -77.023561000, -43.4689
KAP PO 1, 1, 38.865660162, -77.036315113, -43.4769
KAP PO 2, 2, 38.876176912, -77.049072984, -43.4849
KAP PO 3, 3, 38.886692249, -77.061834616, -43.4929
KAP PO 4, 4, 38.897206171, -77.074600011, -43.5009
KAP PO 5, 5, 38.907718679, -77.087369171, -43.5090
KAP PO 6, 6, 38.918229771, -77.100142098, -43.5170
KAP PO 7, 7, 38.934493080, -77.119915860, -43.5250
PO AC 0, 0, 38.934493080, -77.119915860, 96.4722
PO AC 1, 1, 38.932857896, -77.101477636, 96.4837
PO AC 2, 2, 38.931219800, -77.083040260, 96.4953
PO AC 3, 3, 38.929578791, -77.064603733, 96.5069
PO AC 4, 4, 38.927934870, -77.046168056, 96.5185
PO AC 5, 5, 38.926288037, -77.027733230, 96.5301
PO AC 6, 6, 38.924638293, -77.009299258, 96.5417
PO AC 7, 7, 38.922985638, -76.990866141, 96.5532
PO AC 8, 8, 38.921330072, -76.972433879, 96.5648
PO AC 9, 9, 38.918582940, -76.941921770, 96.5764
AC PO 0, 0, 38.918582940, -76.941921770, -83.4160
AC PO 1, 1, 38.920243324, -76.960352611, -83.4276
AC PO 2, 2, 38.921900798, -76.978784311, -83.4392
AC PO 3, 3, 38.923555361, -76.997216868, -83.4507
AC PO 4, 4, 38.925207014, -77.015650280, -83.4623
AC PO 5, 5, 38.926855755, -77.034084546, -83.4739
AC PO 6, 6, 38.928501584, -77.052519665, -83.4855
AC PO 7, 7, 38.930144502, -77.070955635, -83.4971
AC PO 8, 8, 38.931784507, -77.089392455, -83.5087
AC PO 9, 9, 38.934493080, -77.119915860, -83.5203
S AC 0, 0, 38.790339000, -77.040586000, 30.9990
