STRTLOC,ENDLOC,ENDLAT,ENDLON,DIST,BEAR
KEY-star,Ksp-PHIP90,38.892743278936784,-77.00889375735551,12081.936827509493,90.0
KEY-star,Ksp-cos5PHIP90,38.89274333758693,-77.00905567385166,12035.961410244361,90.0
KEY-star,Ksp-cos5PHIP95,38.88986797192638,-77.00921868362968,12035.961410244361,95.0
KEY-star,Ksp-PHIM67,38.89769274753931,-77.03648222582069,4614.889218179551,67.0
KEY-star,Ksp-PHIM90,38.892749873511974,-77.03519125253331,4614.889218179551,90.0
KEY-star,Ksp-sin5PHIP0,38.89563740798451,-77.051444,1053.0101780318746,0.0
KEY-star,Ksp-sin5PHIP180,38.88986459201549,-77.051444,1053.0101780318746,180.0
KEY-star,Ksp-cos67PHIM90,38.89275082801815,-77.0450935455844,1803.180872072278,90.0
KEY-star,Ksp-sin67PHIM0,38.9043952765441,-77.051444,4248.027923479614,0.0
