P1,P1_lat,P1_lon,P2,P2_lat,P2_lon,Dist,Az12,Az21,BackAz12,BackAz21,Reason
K,38.892755,-77.051435,Hk,38.8951366,-77.051444,0.1642848297322346,359.8307964157596,179.83079076483222,359.8307907648322,179.83079641575955,Dist factor of:1.3143
K,38.892755,-77.051435,elEc,38.89278681802996,-77.04033404260801,0.5984377899219823,89.78637707618346,269.7933469772621,89.7933469772621,269.78637707618344,Dist factor of:2.3936
K,38.892755,-77.051435,B,38.892747285,-77.008989,2.2881924692033366,90.00000060968448,270.0266509509012,90.02665095090123,270.0000006096845,"Dist factor of:2.2883, Dist target:2.2883"
J,38.889801,-77.03656908080315,WHs,38.897561,-77.036569,0.5352891591902932,0.00046621789982632966,180.00046626863428,0.0004662686342840061,180.00046621789983,Dist factor of:1.0705
J,38.889801,-77.03656908080315,elNc,38.89344928705847,-77.04098558,0.3464388996207673,316.5886479951461,136.58587509923206,316.58587509923206,136.58864799514612,Dist factor of:1.7321
J,38.889801,-77.03656908080315,H56,38.91681538320637,-77.06120140091524,2.2880741851503874,324.53852128629535,144.523051991841,324.523051991841,144.53852128629535,"Dist factor of:2.2883, Dist target:2.2883"
P,38.87100323118176,-77.05596854698287,H70,38.8737311478417,-77.07038741369139,0.7999653973154293,283.609460270769,103.6004111680528,283.6004111680528,103.60946027076898,Dist factor of:4.0000
PenB,38.87273680802001,-77.05628256361138,PenD,38.87004437347602,-77.05846414671291,0.2198478657793131,212.3514081198567,32.35003901419282,212.35003901419282,32.35140811985673,Dist factor of:1.5388
NOa,38.92154464050518,-77.06705128052432,elNc,38.89344928705847,-77.04098558,2.393667313653798,144.05377132685533,324.0701422786659,144.0701422786659,324.0537713268553,"Dist factor of:2.3936, Dist target:2.3936"
M,38.889484,-77.035278,CapK,38.889801,-77.00904745,1.4142754953559138,89.10585186608176,269.1223199921261,89.12231999212611,269.10585186608176,"Dist factor of:1.4142, Dist target:1.4142"
WHs,38.897561,-77.036569,WHb,38.89609664728791,-77.03656881060775,0.10101192780429734,179.99420907975292,359.9942091986761,179.99420919867612,359.9942090797529,Dist factor of:1.4142
WHa,38.89828563763562,-77.036569,Chk44,38.9096320124952,-77.04345033773585,0.8661166922467266,334.6464464915304,154.64212489560532,334.6421248956053,154.64644649153047,Dist factor of:1.7321
WHb,38.89609664728791,-77.03656881060775,WHc,38.89666242649749,-77.03611695727467,0.046004908991634876,31.968327062957187,211.96861078793674,31.96861078793677,211.9683270629572,Dist factor of:0.8740
WHc,38.89666242649749,-77.03611695727467,Chk63,38.89999431930673,-77.036569,0.23112409044072565,353.94831438248605,173.9480305266179,353.9480305266179,173.94831438248605,Dist factor of:1.6180
WHc,38.89666242649749,-77.03611695727467,H77,38.89703882730361,-77.03762786655247,0.08548439224007263,287.682374071851,107.6814253412756,287.6814253412756,107.68237407185097,"Dist factor of:1.5388, Dist factor of:2.3936"
WHz,38.89597663639302,-77.03431133703796,CFd,38.88868978460074,-77.00578323852076,1.6179702168863581,108.0905148229023,288.1084264441387,108.10842644413867,288.0905148229023,"Dist factor of:1.6180, Dist target:1.6180"
WHz,38.89597663639302,-77.03431133703796,CptB,38.88556174596554,-77.00988737303246,1.4999367113518518,118.61048263328169,298.6258169180983,118.62581691809828,298.61048263328166,Dist factor of:3.0000
WHz,38.89597663639302,-77.03431133703796,SF01,38.90124200833564,-77.08586335465753,2.802490146282903,277.4627853810688,97.43041359089243,277.43041359089244,97.46278538106878,"Dist factor of:2.8025, Dist target:2.8025"
WH SEcnr,38.89753757777559,-77.03626431326734,H28,38.90499081362246,-77.12853595395019,5.000117297202581,275.9307486522879,95.87280387850798,275.87280387850797,95.93074865228789,"Dist factor of:5.0000, Dist target:5.0000"
Cap,38.889801,-77.009227,CapK,38.889801,-77.00904745,0.0096796387276986,89.9999436370541,270.0000563629459,90.00005636294588,269.9999436370541,Dist factor of:2.2361
Cap,38.889801,-77.009227,Chk23a,38.90863930872903,-76.97546834269932,2.236063185390725,54.45824125444345,234.47944008717144,54.47944008717144,234.45824125444346,"Dist factor of:2.2361, Dist target:2.2361"
CapK,38.889801,-77.00904745,I069,38.89642237002393,-77.00659984972448,0.4754222130920981,16.112252044778845,196.11378881831774,16.113788818317744,196.11225204477884,"Dist factor of:0.4755, Dist target:0.4755"
CFa,38.89064396166972,-77.01235207597406,CFb,38.88898718985376,-77.01233379820508,0.11428922250880114,179.50600265687066,359.50601413210575,179.50601413210575,359.5060026568707,Dist factor of:4.0000
