LOC,LAT,LON
PSe0,38.8710032,-77.05596855
PSe1,38.870626719141185,-77.05323754898434
PSe2,38.86717231526585,-77.05401680636348
PSe3,38.868157772540016,-77.06116638558362
PSe4,38.87720162728402,-77.05912698128755
PSe5,38.87462041596984,-77.040407260062
PSe6,38.85094403738848,-77.04575141160909
PSe7,38.857693171562445,-77.09474739356932
PSe8,38.91968380442548,-77.0807899489649
PSe9,38.90195550361954,-76.95242849122921
PSe10,38.739696782735,-76.98920086993543
PSf0,38.8710032,-77.05596855
PSf1,38.868856413752,-77.0555826143169
PSf2,38.86836816508431,-77.06002582937174
PSf3,38.873988482093516,-77.06103661426143
PSf4,38.87526647490729,-77.04940309947823
PSf5,38.860552003706566,-77.04675951828916
PSf6,38.85720440303177,-77.0772094195082
PSf7,38.89572539833552,-77.08414882619087
PSf8,38.904477353560814,-77.00438169715328
PSf9,38.80361445524225,-76.98634040255561
PSf10,38.78061863691706,-77.19484323106279
PSd0,38.8710032,-77.05596855
PSd1,38.87005283601182,-77.05846100368875
PSd2,38.87320548438986,-77.06042816513623
PSd3,38.87569356516377,-77.05390247636717
PSd4,38.86743946654629,-77.04875332409958
PSd5,38.860925556338536,-77.06583533014735
PSd6,38.88253261331109,-77.07932244968691
PSd7,38.899586039108684,-77.03458424477992
PSd8,38.84300120990254,-76.99931883549137
PSd9,38.79835340712632,-77.11632909970943
PSd10,38.946379154661635,-77.20895853987716
PSa0,38.8710032,-77.05596855
PSa1,38.872562628356896,-77.05789498099023
PSa2,38.87499929470629,-77.05466715665166
PSa3,38.870916452388634,-77.04962388562618
PSa4,38.864537346449005,-77.0580739401049
PSa5,38.875224955469626,-77.07127870228587
PSa6,38.89192683175328,-77.04915274778074
PSa7,38.863936634510644,-77.0145911991347
PSa8,38.8202185214824,-77.07249426432517
PSa9,38.893431556945,-77.16303889938126
PSa10,39.0079413945594,-77.01128540439974
PSg0,38.8710032,-77.05596855
PSg1,38.87291731941839,-77.0546666020198
PSg2,38.871270439100215,-77.0507047924769
PSg3,38.8662592915465,-77.05411338816164
PSg4,38.87057029559795,-77.06448540502977
PSg5,38.883690213107236,-77.05556193921565
PSg6,38.87239984974424,-77.0284067214151
PSg7,38.838055320038215,-77.0517710863252
PSg8,38.86758642636411,-77.12285800406532
PSg9,38.957527992512496,-77.06170585712464
PSg10,38.88002598378683,-76.87555470471911
